iter	Passed	Remaining
601	2321	769087
602	2325	769004
603	2328	768847
604	2332	768734
605	2336	768916
606	2340	768774
607	2343	768682
608	2347	768535
609	2352	768944
610	2356	768884
611	2359	768771
612	2363	768674
613	2366	768590
614	2370	768670
615	2374	768566
616	2378	768574
617	2382	768487
618	2386	768637
619	2389	768532
620	2394	768681
621	2397	768596
622	2402	768709
623	2405	768631
624	2409	768512
625	2412	768461
626	2416	768318
627	2420	768435
628	2423	768317
629	2428	768474
630	2432	768480
631	2436	768673
632	2440	768581
633	2443	768498
634	2447	768404
635	2451	768604
636	2455	768554
637	2460	768706
638	2464	768890
639	2468	769041
640	2472	769008
641	2476	768991
642	2480	768963
643	2484	769088
644	2488	769006
645	2492	769156
646	2496	769093
647	2500	769144
648	2503	769104
649	2507	769013
650	2511	768952
651	2514	768813
652	2518	768920
653	2522	769007
654	2526	768882
655	2530	768848
656	2534	768977
657	2538	768936
658	2541	768840
659	2545	768704
660	2549	768805
661	2553	768823
662	2557	769040
663	2561	769027
664	2566	769197
665	2570	769225
666	2573	769168
667	2577	769085
668	2580	769010
669	2585	769295
670	2589	769288
671	2593	769192
672	2596	769116
673	2601	769405
674	2605	769332
675	2608	769241
676	2612	769095
677	2616	769209
678	2620	769163
679	2623	769097
680	2627	769039
681	2630	768894
682	2635	769023
683	2638	768927
684	2642	769021
685	2646	768957
686	2650	769068
687	2654	768959
688	2658	768905
689	2661	768845
690	2665	768915
691	2669	768860
692	2672	768717
693	2677	768887
694	2681	768836
695	2685	768943
696	2688	768814
697	2692	768773
698	2696	768696
699	2700	768761
700	2703	768654
701	2707	768742
702	2711	768682
703	2715	768768
704	2719	768724
705	2723	768768
706	2726	768675
707	2730	768684
708	2734	768658
709	2738	768707
710	2742	768680
711	2746	768598
712	2750	768667
713	2754	768717
714	2757	768703
715	2761	768614
716	2765	768742
717	2769	768701
718	2773	768637
719	2776	768543
720	2781	768696
721	2786	768965
722	2789	768891
723	2793	768758
724	2796	768678
725	2800	768816
726	2804	768708
727	2807	768604
728	2811	768502
729	2815	768526
730	2819	768608
731	2823	768497
732	2826	768377
733	2830	768448
734	2834	768378
735	2837	768293
736	2841	768164
737	2844	768071
738	2849	768194
739	2852	768098
740	2856	768144
741	2860	768066
742	2864	768159
743	2868	768253
744	2872	768155
745	2875	768088
746	2879	767966
747	2883	768089
748	2886	767984
749	2890	767864
750	2893	767773
751	2898	767947
752	2902	767884
753	2905	767791
754	2908	767681
755	2912	767610
756	2916	767710
757	2920	767624
758	2924	767585
759	2928	767601
760	2932	767841
761	2936	767741
762	2939	767631
763	2943	767523
764	2947	767586
765	2951	767687
766	2954	767575
767	2958	767469
768	2963	767645
769	2966	767630
770	2970	767539
